Year,m,d,Time,Time zone,Direction of waves (deg),Wave height (m)
2019,4,25,16:30,UTC,181,0.1
2019,4,25,17:00,UTC,185,0.1
2019,4,25,17:30,UTC,77,0.1
2019,4,25,18:00,UTC,144,0.1
2019,4,25,18:30,UTC,157,0.1
2019,4,25,19:00,UTC,148,0.1
2019,4,25,19:30,UTC,44,0.1
2019,4,25,20:00,UTC,130,0.1
2019,4,25,20:30,UTC,200,0.1
2019,4,25,21:00,UTC,133,0.1
2019,4,25,21:30,UTC,158,0.1
2019,4,25,22:00,UTC,176,0.1
2019,4,25,22:30,UTC,147,0.1
2019,4,25,23:00,UTC,133,0.1
2019,4,25,23:30,UTC,196,0.1
2019,4,26,00:00,UTC,131,0.1
2019,4,26,00:30,UTC,79,0.1
2019,4,26,01:00,UTC,92,0.1
2019,4,26,01:30,UTC,85,0.2
2019,4,26,02:00,UTC,91,0.2
2019,4,26,02:30,UTC,98,0.2
2019,4,26,03:00,UTC,95,0.2
2019,4,26,03:30,UTC,102,0.2
2019,4,26,04:00,UTC,96,0.2
2019,4,26,04:30,UTC,92,0.2
2019,4,26,05:00,UTC,130,0.2
2019,4,26,05:30,UTC,134,0.2
2019,4,26,06:00,UTC,113,0.2
2019,4,26,06:30,UTC,164,0.2
2019,4,26,07:00,UTC,124,0.2
2019,4,26,07:30,UTC,106,0.2
2019,4,26,08:00,UTC,107,0.3
2019,4,26,08:30,UTC,112,0.2
2019,4,26,09:00,UTC,113,0.2
2019,4,26,09:30,UTC,103,0.2
2019,4,26,10:00,UTC,105,0.3
2019,4,26,10:30,UTC,112,0.3
2019,4,26,11:00,UTC,115,0.2
2019,4,26,11:30,UTC,107,0.2
2019,4,26,12:00,UTC,115,0.2
2019,4,26,12:30,UTC,122,0.2
2019,4,26,13:00,UTC,95,0.2
2019,4,26,13:30,UTC,117,0.2
2019,4,26,14:00,UTC,131,0.1
2019,4,26,14:30,UTC,48,0.2
2019,4,26,15:00,UTC,86,0.1
2019,4,26,15:30,UTC,172,0.1
2019,4,26,16:00,UTC,205,0.1
2019,4,26,16:30,UTC,175,0.2
2019,4,26,17:00,UTC,183,0.1
2019,4,26,17:30,UTC,183,0.1
2019,4,26,18:00,UTC,171,0.1
2019,4,26,18:30,UTC,175,0.1
2019,4,26,19:00,UTC,171,0.1
2019,4,26,19:30,UTC,169,0.1
2019,4,26,20:00,UTC,316,0.1
2019,4,26,20:30,UTC,152,0.1
2019,4,26,21:00,UTC,145,0.1
2019,4,26,21:30,UTC,182,0.1
2019,4,26,22:00,UTC,165,0.1
2019,4,26,22:30,UTC,189,0.1
2019,4,26,23:00,UTC,210,0.1
2019,4,26,23:30,UTC,158,0.1
2019,4,27,00:00,UTC,140,0.1
2019,4,27,00:30,UTC,137,0.1
2019,4,27,01:00,UTC,143,0.1
2019,4,27,01:30,UTC,150,0.1
2019,4,27,02:00,UTC,109,0.1
2019,4,27,02:30,UTC,190,0
2019,4,27,03:00,UTC,179,0
2019,4,27,03:30,UTC,154,0
2019,4,27,04:00,UTC,154,0
2019,4,27,04:30,UTC,103,0.1
2019,4,27,05:00,UTC,168,0.1
2019,4,27,05:30,UTC,193,0.1
2019,4,27,06:00,UTC,143,0.1
2019,4,27,06:30,UTC,195,0.1
2019,4,27,07:00,UTC,183,0.1
2019,4,27,07:30,UTC,197,0.1
2019,4,27,08:00,UTC,113,0.1
2019,4,27,08:30,UTC,137,0.1
2019,4,27,09:00,UTC,151,0.1
2019,4,27,09:30,UTC,176,0.1
2019,4,27,10:00,UTC,168,0.1
2019,4,27,10:30,UTC,47,0.1
2019,4,27,11:00,UTC,190,0.1
2019,4,27,11:30,UTC,216,0.1
2019,4,27,12:00,UTC,169,0.1
2019,4,27,12:30,UTC,22,0.1
2019,4,27,13:00,UTC,192,0.1
2019,4,27,13:30,UTC,3,0.1
2019,4,27,14:00,UTC,62,0.1
2019,4,27,14:30,UTC,64,0.1
2019,4,27,15:00,UTC,113,0.1
2019,4,27,15:30,UTC,186,0.1
2019,4,27,16:00,UTC,164,0.1
2019,4,27,16:30,UTC,178,0.1
2019,4,27,17:00,UTC,193,0.1
