Year,m,d,Time,Time zone,Direction of waves (deg),Wave height (m)
2019,1,8,22:30,UTC,347,1.3
2019,1,8,23:00,UTC,350,1.4
2019,1,8,23:30,UTC,348,1.4
2019,1,9,00:00,UTC,347,1.3
2019,1,9,00:30,UTC,351,1.3
2019,1,9,01:00,UTC,345,1.3
2019,1,9,01:30,UTC,345,1.4
2019,1,9,02:00,UTC,343,1.4
2019,1,9,02:30,UTC,348,1.5
2019,1,9,03:00,UTC,345,1.6
2019,1,9,03:30,UTC,350,1.5
2019,1,9,04:00,UTC,351,1.5
2019,1,9,04:30,UTC,353,1.6
2019,1,9,05:00,UTC,347,1.6
2019,1,9,05:30,UTC,347,1.6
2019,1,9,06:00,UTC,347,1.7
2019,1,9,06:30,UTC,347,1.6
2019,1,9,07:00,UTC,347,1.7
2019,1,9,07:30,UTC,357,1.6
2019,1,9,08:00,UTC,348,1.7
2019,1,9,08:30,UTC,350,1.8
2019,1,9,09:00,UTC,348,1.9
2019,1,9,09:30,UTC,350,1.9
2019,1,9,10:00,UTC,353,1.9
2019,1,9,10:30,UTC,353,1.9
2019,1,9,11:00,UTC,353,1.9
2019,1,9,11:30,UTC,357,1.9
2019,1,9,12:00,UTC,353,1.9
2019,1,9,12:30,UTC,358,1.9
2019,1,9,13:00,UTC,2,2
2019,1,9,13:30,UTC,358,2
2019,1,9,14:00,UTC,358,1.8
2019,1,9,14:30,UTC,351,1.9
2019,1,9,15:00,UTC,358,1.9
2019,1,9,15:30,UTC,357,1.8
2019,1,9,16:00,UTC,357,1.8
2019,1,9,16:30,UTC,355,1.7
2019,1,9,17:00,UTC,1,1.6
2019,1,9,17:30,UTC,360,1.5
2019,1,9,18:00,UTC,358,1.6
2019,1,9,18:30,UTC,1,1.4
2019,1,9,19:00,UTC,2,1.4
2019,1,9,19:30,UTC,4,1.4
2019,1,9,20:00,UTC,358,1.5
2019,1,9,20:30,UTC,4,1.4
2019,1,9,21:00,UTC,1,1.3
2019,1,9,21:30,UTC,360,1.2
2019,1,9,22:00,UTC,5,1.2
2019,1,9,22:30,UTC,7,1.1
2019,1,9,23:00,UTC,9,1
2019,1,9,23:30,UTC,7,0.9
2019,1,10,00:00,UTC,4,0.9
2019,1,10,00:30,UTC,360,0.8
2019,1,10,01:00,UTC,4,0.8
2019,1,10,01:30,UTC,358,0.8
2019,1,10,02:00,UTC,357,0.7
2019,1,10,02:30,UTC,358,0.7
2019,1,10,03:00,UTC,4,0.6
2019,1,10,03:30,UTC,357,0.6
2019,1,10,04:00,UTC,360,0.5
2019,1,10,04:30,UTC,355,0.5
2019,1,10,05:00,UTC,347,0.5
2019,1,10,05:30,UTC,343,0.4
2019,1,10,06:00,UTC,340,0.5
2019,1,10,06:30,UTC,334,0.4
2019,1,10,07:00,UTC,329,0.4
2019,1,10,07:30,UTC,329,0.3
2019,1,10,08:00,UTC,327,0.4
2019,1,10,08:30,UTC,315,0.5
2019,1,10,09:00,UTC,254,0.5
2019,1,10,09:30,UTC,229,0.6
2019,1,10,10:00,UTC,258,0.7
2019,1,10,10:30,UTC,257,0.8
2019,1,10,11:00,UTC,246,1
2019,1,10,11:30,UTC,241,1.1
2019,1,10,12:00,UTC,241,1.2
2019,1,10,12:30,UTC,241,1.3
2019,1,10,13:00,UTC,240,1.4
2019,1,10,13:30,UTC,236,1.6
2019,1,10,14:00,UTC,237,1.5
2019,1,10,14:30,UTC,239,1.6
2019,1,10,15:00,UTC,234,1.8
2019,1,10,15:30,UTC,232,2
2019,1,10,16:00,UTC,232,2.1
2019,1,10,16:30,UTC,234,2.3
2019,1,10,17:00,UTC,232,2.6
2019,1,10,17:30,UTC,232,2.8
2019,1,10,18:00,UTC,233,2.7
2019,1,10,18:30,UTC,240,2.6
2019,1,10,19:00,UTC,232,2.7
2019,1,10,19:30,UTC,236,3.1
2019,1,10,20:00,UTC,232,3.1
2019,1,10,20:30,UTC,230,2.9
2019,1,10,21:00,UTC,230,2.9
2019,1,10,21:30,UTC,234,3
2019,1,10,22:00,UTC,232,3.1
2019,1,10,22:30,UTC,229,3
2019,1,10,23:00,UTC,232,2.9
2019,1,10,23:30,UTC,232,2.9
2019,1,11,00:00,UTC,229,3.1
2019,1,11,00:30,UTC,222,2.7
2019,1,11,01:00,UTC,226,2.6
2019,1,11,01:30,UTC,220,2.6
2019,1,11,02:00,UTC,223,2.3
2019,1,11,02:30,UTC,222,2.4
2019,1,11,03:00,UTC,227,2.3
2019,1,11,03:30,UTC,222,2.1
2019,1,11,04:00,UTC,229,2.3
2019,1,11,04:30,UTC,225,2.2
2019,1,11,05:00,UTC,226,2.2
2019,1,11,05:30,UTC,227,2.1
2019,1,11,06:00,UTC,226,2
2019,1,11,06:30,UTC,230,2
2019,1,11,07:00,UTC,285,2.3
2019,1,11,07:30,UTC,277,2.2
2019,1,11,08:00,UTC,272,2.3
